depth,gas_CT_hr,excessice_CT_hr,phaseA_CT_hr,phaseB_CT_hr,poreice_CT_hr,totalice_CT_hr,organic_CT_hr,mineral_CT_hr
41.44,2.116,36.413,24.183,37.287,32.66662081982501,69.07962081982501,6.2313132644270155,22.572065915747963
41.445,2.113,36.461,24.14,37.286,32.636901895900934,69.09790189590093,6.2251171665705005,22.56398093752857
41.45,2.113,36.452,24.218,37.217,32.66004970045893,69.11204970045893,6.231060379059918,22.543889920481153
41.455,2.116,36.435,24.42,37.028,32.71551901058326,69.15051901058325,6.245680856612534,22.486800132804206
41.46,2.099,36.453,24.544,36.904,32.74610295231369,69.1991029523137,6.254058959119723,22.44783808856659
41.465,2.058,36.399,24.755,36.788,32.839412123296505,69.23841212329651,6.27542035715576,22.42816751954773
41.47,2.035,36.346,24.958,36.661,32.922494708527765,69.26849470852775,6.294820210308348,22.40168508116389
41.475,2.023,36.404,25.0,36.573,32.912871801452546,69.31687180145255,6.294217585311819,22.365910613235634
41.48,2.001,36.401,25.177,36.422,32.96782207675922,69.36882207675922,6.308121207601473,22.323056715639304
41.485,2.009,36.293,25.548,36.15,33.10233196219785,69.39533196219784,6.340592223041506,22.255075814760637
41.49,2.009,36.256,25.791,35.944,33.17833908768399,69.43433908768398,6.359777854984985,22.19688305733103
41.495,2.009,36.215,26.007,35.769,33.249424370338915,69.46442437033892,6.377438385228876,22.149137244432204
41.5,2.005,36.142,26.346,35.507,33.36648502455607,69.50848502455608,6.406101915641253,22.08041305980267
41.505,2.009,36.023,26.694,35.274,33.50227233743673,69.52527233743673,6.438215578420932,22.027512084142337
41.51,1.985,35.968,27.065,34.982,33.62809440369582,69.59609440369582,6.469190781080913,21.949714815223263
41.515,1.948,36.129,27.086,34.838,33.57984385426051,69.70884385426051,6.461410404682376,21.882745741057114
41.52,1.927,36.346,26.981,34.747,33.4688055337067,69.8148055337067,6.4396570784438545,21.819537387849444
41.525,1.917,36.513,26.829,34.741,33.362681769099424,69.87568176909943,6.417570225375839,21.78974800552474
41.53,1.909,36.676,26.706,34.709,33.26501387341893,69.94101387341894,6.39766713916603,21.75231898741504
41.535,1.94,36.697,26.806,34.558,33.267524403648544,69.96452440364854,6.400609350856882,21.695866245494575
41.54,1.972,36.737,26.819,34.471,33.238585853672106,69.9755858536721,6.39595319302708,21.655460953300807
41.545,1.979,36.892,26.769,34.36,33.15631667470809,70.04831667470809,6.380533633007648,21.59214969228426
41.55,1.927,37.105,26.741,34.227,33.0794736789543,70.1844736789543,6.366600510529813,21.521925810515878
41.555,1.894,37.266,26.754,34.086,33.02707801719312,70.29307801719312,6.357905658193864,21.45501632461302
41.56,1.876,37.34,26.894,33.891,33.0377167712418,70.37771677124181,6.363251321040702,21.3840319077175
41.565,1.86,37.373,27.021,33.746,33.06122160978476,70.43422160978476,6.370485888074242,21.335292502140998
41.57,1.882,37.349,27.246,33.523,33.11758544726196,70.46658544726196,6.385837671482226,21.265576881255818
41.575,1.902,37.308,27.568,33.222,33.20612724802304,70.51412724802304,6.409164315282853,21.17470843669411
41.58,1.895,37.251,27.927,32.927,33.32247371360098,70.57347371360098,6.438206874244193,21.093319412154823
41.585,1.911,37.213,28.296,32.58,33.423042205815634,70.63604220581564,6.464783879795418,20.988173914388945
41.59,1.9,37.311,28.484,32.306,33.432053785322,70.74305378532199,6.471054169287566,20.886892045390432
41.595,1.873,37.548,28.512,32.066,33.34686895337735,70.89486895337735,6.457090383417389,20.774040663205255
41.6,1.843,37.796,28.481,31.88,33.24496012984673,71.04096012984672,6.4387662891270026,20.677273581026263
41.605,1.834,37.914,28.577,31.676,33.22172379664916,71.13572379664916,6.437175173023499,20.594101030327337
41.61,1.828,38.023,28.551,31.598,33.17013437493981,71.19313437493982,6.42764024765442,20.551225377405764
41.615,1.809,38.115,28.635,31.442,33.159576379968925,71.27457637996892,6.427930810441417,20.489492809589663
41.62,1.776,38.269,28.564,31.391,33.08906890988614,71.35806890988613,6.414009213144292,20.451921876969568
41.625,1.757,38.454,28.379,31.41,32.971330742791686,71.42533074279169,6.389094378651859,20.428574878556454
41.63,1.759,38.706,28.149,31.386,32.80426716019541,71.51026716019541,6.354557527501191,20.3761753123034
41.635,1.76,38.92,27.904,31.416,32.65044515462861,71.57044515462862,6.32192403112963,20.347630814241754
41.64,1.763,38.987,27.701,31.548,32.56953452419224,71.55653452419224,6.302898131172056,20.3765673446357
41.645,1.756,38.947,27.653,31.644,32.57854634503717,71.52554634503717,6.303244945389791,20.41520870957304
41.65,1.735,38.92,27.6,31.746,32.586759333384194,71.5067593333842,6.303328723532529,20.455911943083272
41.655,1.718,38.953,27.491,31.838,32.55249041572178,71.50549041572178,6.2946926603042925,20.48181692397393
41.66,1.713,38.883,27.468,31.937,32.579831300702416,71.46283130070242,6.298822745984102,20.52634595331348
41.665,1.721,38.803,27.44,32.037,32.60420139839028,71.40720139839027,6.3023158423939005,20.570482759215817
41.67,1.737,38.748,27.418,32.098,32.615716462580146,71.36371646258014,6.303746239773408,20.596537297646442
41.675,1.762,38.704,27.468,32.065,32.635433343451474,71.33943334345147,6.308395947776449,20.58917070877207
41.68,1.789,38.752,27.379,32.08,32.581337034954856,71.33333703495487,6.296848124981057,20.580814840064086
41.685,1.811,38.792,27.279,32.119,32.53017471731982,71.32217471731983,6.285529361721901,20.582295920958284
41.69,1.827,38.799,27.222,32.152,32.50569058689603,71.30469058689603,6.279883161846241,20.588426251257733
41.695,1.83,38.695,27.223,32.252,32.54981071844408,71.24481071844409,6.287504581728315,20.637684699827606
